RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Eryk Anders,Chris Weidman,0,1,62,16,0,0,0,1,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",WIN,Eryk Anders,KO/TKOPunches,KO/TKOPunches,2,4:51,Catch Weight,0.0,0.0,0.0,0.0,0.0,190.5,Southpaw,1987-04-21,3.51,48.0,4.09,50.0,1.75,24.0,80.0,3.51,198.12,Orthodox,1984-06-17,3.11,45.0,3.37,51.0,3.27,42.0,72.0,3.11
Cody Durden,Joshua Van,0,0,70,165,2,0,0,0,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",WIN,Joshua Van,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,170.18,Southpaw,1991-03-29,3.44,44.0,4.35,50.0,4.13,47.0,73.0,3.44,165.1,Orthodox,2001-10-10,8.86,56.0,6.36,57.0,0.85,63.0,81.0,8.86
Max Griffin,Michael Chiesa,0,0,10,13,0,2,0,1,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",WIN,Michael Chiesa,SUBRear,SUBRear Naked Choke,3,1:56,Welterweight,0.0,0.0,0.0,0.0,0.0,193.04,Orthodox,1985-11-29,3.76,47.0,3.7,58.0,1.28,40.0,70.0,3.76,190.5,Southpaw,1987-12-07,2.03,40.0,1.73,57.0,3.05,47.0,67.0,2.03
Clay Guida,Chase Hooper,0,0,5,7,0,3,0,1,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",WIN,Chase Hooper,SUBArmbar,SUBArmbar,1,3:41,Lightweight,0.0,0.0,1.0,0.0,0.0,177.8,Orthodox,1981-12-08,2.63,33.0,3.0,61.0,3.1,35.0,66.0,2.63,187.96,Southpaw,1999-09-13,4.51,49.0,2.98,39.0,2.49,33.0,55.0,4.51
Lukasz Brzeski,Kennedy Nzechukwu,0,1,32,29,0,0,0,0,UFC 310: Pantoja vs. Asakura,"December 07, 2024","Las Vegas, Nevada, USA",WIN,Kennedy Nzechukwu,KO/TKOPunch,KO/TKOPunch,1,4:51,Heavyweight,0.0,0.0,1.0,0.0,0.0,198.12,Orthodox,1992-05-17,4.9,50.0,3.65,54.0,0.41,33.0,35.0,4.9,210.82,Southpaw,1992-06-13,5.33,46.0,4.89,51.0,0.55,45.0,80.0,5.33
Petr Yan,Deiveson Figueiredo,0,0,121,53,1,2,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Petr Yan,U-DEC,U-DEC,5,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,170.18,Switch,1993-02-11,5.12,54.0,4.14,58.0,1.58,48.0,85.0,5.12,172.72,Orthodox,1987-12-18,2.75,54.0,3.54,49.0,1.71,35.0,57.0,2.75
Tabatha Ricci,Yan Xiaonan,0,0,15,78,1,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Yan Xiaonan,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,154.94,Orthodox,1995-02-21,4.18,36.0,5.19,57.0,2.69,37.0,78.0,4.18,160.02,Orthodox,1989-06-16,4.69,45.0,3.23,60.0,0.84,73.0,64.0,4.69
Song Kenan,Muslim Salikhov,0,1,9,20,0,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Muslim Salikhov,KO/TKOKick,KO/TKOKick,1,3:49,Welterweight,0.0,0.0,1.0,0.0,0.0,180.34,Orthodox,1990-03-10,4.49,46.0,5.82,51.0,0.42,30.0,73.0,4.49,177.8,Orthodox,1984-06-09,3.39,49.0,2.92,62.0,1.08,32.0,72.0,3.39
Wang Cong,Gabriella Fernandes,0,1,46,18,0,0,0,1,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Gabriella Fernandes,SUBRear,SUBRear Naked Choke,2,3:49,Women's Flyweight,0.0,0.0,1.0,0.0,0.0,167.64,Southpaw,1992-05-15,7.48,57.0,2.68,63.0,1.05,75.0,100.0,7.48,167.64,Southpaw,1993-08-13,3.56,48.0,5.19,52.0,0.44,18.0,68.0,3.56
Volkan Oezdemir,Carlos Ulberg,0,0,96,98,0,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Carlos Ulberg,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1989-09-19,4.95,48.0,4.22,55.0,0.5,29.0,80.0,4.95,195.58,Orthodox,1990-11-07,6.54,55.0,4.04,51.0,0.55,60.0,85.0,6.54
Ozzy Diaz,Zhang Mingyang,0,1,9,17,0,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Zhang Mingyang,KO/TKOElbow,KO/TKOElbow,1,2:25,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,200.66,Orthodox,1990-11-22,6.44,50.0,7.23,59.0,0.0,0.0,50.0,6.44,190.5,Orthodox,1998-08-16,7.71,60.0,5.33,43.0,0.0,0.0,75.0,7.71
SuYoung You,Baergeng Jieleyisi,0,0,42,9,2,1,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,SuYoung You,U-DEC,U-DEC,3,5:00,Bantamweight,1.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1995-12-11,2.28,46.0,1.96,70.0,3.8,47.0,66.0,2.28,180.34,Orthodox,1995-11-24,1.61,35.0,2.62,52.0,1.73,38.0,78.0,1.61
DongHun Choi,Kiru Sahota,1,0,12,2,0,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,DongHun Choi,KO/TKOPunch,KO/TKOPunch,1,2:36,Flyweight,1.0,0.0,0.0,0.0,0.0,167.64,Switch,1999-01-02,4.54,66.0,3.13,58.0,0.46,14.0,81.0,4.54,185.42,Orthodox,1995-05-28,4.05,52.0,2.64,41.0,0.92,33.0,50.0,4.05
Feng Xiaocan,Shi Ming,0,1,48,30,0,1,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Shi Ming,KO/TKOKick,KO/TKOKick,3,0:46,Women's Strawweight,1.0,0.0,1.0,0.0,0.0,170.18,Southpaw,2001-10-27,4.18,49.0,1.49,68.0,0.7,100.0,63.0,4.18,152.4,Orthodox,1994-11-14,3.12,36.0,2.92,53.0,0.81,30.0,57.0,3.12
Nyamjargal Tumendemberel,Carlos Hernandez,1,0,26,44,0,4,1,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Carlos Hernandez,S-DEC,S-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1998-03-22,3.18,39.0,3.33,52.0,3.1,38.0,54.0,3.18,170.18,Orthodox,1993-10-25,3.83,45.0,3.5,50.0,1.56,21.0,65.0,3.83
Jose Ochoa,Lone'er Kavanagh,0,0,50,51,0,0,1,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Lone'er Kavanagh,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,170.18,Southpaw,2000-12-31,3.01,37.0,2.33,60.0,0.43,50.0,59.0,3.01,170.18,Orthodox,1999-06-09,4.29,49.0,3.69,58.0,1.79,50.0,88.0,4.29
Quang Le,Xiao Long,0,1,64,87,1,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Xiao Long,KO/TKOPunch,KO/TKOPunch,3,1:28,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1991-10-18,2.82,38.0,4.59,49.0,2.9,33.0,100.0,2.82,177.8,Orthodox,1998-04-13,5.25,46.0,4.2,50.0,0.69,25.0,79.0,5.25
Nikolas Motta,Maheshate,2,0,78,56,0,0,0,0,UFC Fight Night: Yan vs. Figueiredo,"November 23, 2024","Macau, China",WIN,Nikolas Motta,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1993-02-08,4.13,38.0,5.28,52.0,0.0,0.0,83.0,4.13,180.34,Orthodox,1999-12-01,3.96,31.0,5.96,51.0,0.0,0.0,47.0,3.96
Stipe Miocic,Jon Jones,0,1,37,96,0,1,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Jon Jones,KO/TKOSpinning,KO/TKOSpinning Back Kick,3,4:29,Heavyweight,1.0,0.0,1.0,0.0,0.0,203.2,Orthodox,1982-08-19,4.67,52.0,4.01,52.0,1.74,34.0,65.0,4.67,213.36,Orthodox,1987-07-19,4.38,58.0,2.24,64.0,1.89,45.0,95.0,4.38
Charles Oliveira,Michael Chandler,0,0,88,84,5,0,2,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Charles Oliveira,U-DEC,U-DEC,5,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0,187.96,Orthodox,1989-10-17,3.35,54.0,3.24,49.0,2.22,40.0,54.0,3.35,180.34,Orthodox,1986-04-24,4.04,49.0,4.52,43.0,1.96,41.0,61.0,4.04
Bo Nickal,Paul Craig,0,0,54,47,0,0,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Bo Nickal,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,193.04,Southpaw,1996-01-14,2.36,59.0,2.11,58.0,3.34,53.0,100.0,2.36,193.04,Orthodox,1987-11-27,2.5,45.0,3.04,43.0,1.43,18.0,35.0,2.5
Viviane Araujo,Karine Silva,0,0,48,58,3,1,1,1,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Viviane Araujo,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1986-11-21,3.84,47.0,4.83,55.0,1.72,43.0,75.0,3.84,170.18,Orthodox,1993-12-02,2.73,38.0,2.89,51.0,2.37,47.0,11.0,2.73
James Llontop,Mauricio Ruffy,0,1,90,67,0,0,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Mauricio Ruffy,U-DEC,U-DEC,3,5:00,Catch Weight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1999-08-02,5.57,41.0,4.12,57.0,0.0,0.0,54.0,5.57,190.5,Orthodox,1996-06-17,3.84,57.0,4.16,60.0,0.0,0.0,84.0,3.84
Jonathan Martinez,Marcus McGhee,0,0,48,102,0,0,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Marcus McGhee,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Southpaw,1994-04-20,4.44,49.0,4.09,56.0,0.38,35.0,68.0,4.44,175.26,Orthodox,1990-05-07,5.5,45.0,3.64,57.0,0.31,14.0,90.0,5.5
Damon Jackson,Jim Miller,0,0,16,10,0,0,0,1,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Jim Miller,SUBGuillotine,SUBGuillotine Choke,1,2:44,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Switch,1988-08-08,2.96,42.0,3.47,49.0,2.3,32.0,37.0,2.96,180.34,Southpaw,1983-08-30,2.92,42.0,3.44,56.0,1.5,45.0,48.0,2.92
Roberto Romero,David Onama,1,1,74,121,0,1,0,1,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,David Onama,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,2000-01-30,4.56,49.0,6.44,44.0,0.0,0.0,71.0,4.56,187.96,Orthodox,1994-06-07,5.24,50.0,4.73,52.0,1.08,30.0,52.0,5.24
Jhonata Diniz,Marcin Tybura,0,0,15,35,0,1,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Marcin Tybura,KO/TKO,KO/TKO,2,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1991-06-23,3.89,56.0,3.62,56.0,0.0,0.0,70.0,3.89,198.12,Orthodox,1985-11-09,3.59,48.0,3.33,55.0,1.38,33.0,75.0,3.59
Mickey Gall,Ramiz Brahimaj,0,1,28,31,0,0,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Ramiz Brahimaj,KO/TKOPunch,KO/TKOPunch,1,2:55,Welterweight,0.0,0.0,1.0,0.0,0.0,187.96,Switch,1992-01-22,3.5,49.0,4.72,49.0,1.15,32.0,37.0,3.5,182.88,Orthodox,1992-11-17,2.23,46.0,3.42,44.0,1.74,38.0,48.0,2.23
Oban Elliott,Bassil Hafez,1,0,65,24,0,0,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Oban Elliott,KO/TKOPunch,KO/TKOPunch,3,0:40,Welterweight,0.0,0.0,1.0,0.0,0.0,182.88,Orthodox,1997-12-19,3.5,48.0,2.24,60.0,1.7,44.0,55.0,3.5,182.88,Orthodox,1992-01-31,3.71,38.0,5.68,41.0,2.21,24.0,50.0,3.71
Veronica Hardy,Eduarda Moura,0,0,46,26,0,3,0,0,UFC 309: Jones vs. Miocic,"November 16, 2024","New York City, New York, USA",WIN,Eduarda Moura,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,162.56,Southpaw,1995-10-30,3.06,45.0,3.24,50.0,0.82,41.0,51.0,3.06,170.18,Orthodox,1994-02-28,3.04,37.0,2.47,61.0,3.73,37.0,80.0,3.04
